query_id Q0 doc_id rank BM25_score system_name
1 Q0 CACM-1657.txt 1 21.870981 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2319.txt 2 21.860723 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2629.txt 3 20.976036 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1938.txt 4 19.56074 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2218.txt 5 19.369572 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1410.txt 6 19.055645 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1827.txt 7 18.5904 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1605.txt 8 18.329483 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2379.txt 9 17.763578 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2357.txt 10 17.599562 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2378.txt 11 17.572409 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2151.txt 12 17.485184 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1698.txt 13 17.314882 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1161.txt 14 17.267395 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1844.txt 15 17.214783 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2054.txt 16 17.201538 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1752.txt 17 17.104345 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2371.txt 18 17.00119 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1519.txt 19 16.901094 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2219.txt 20 16.720182 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1033.txt 21 16.580343 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2535.txt 22 16.272398 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1591.txt 23 16.159517 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1523.txt 24 15.985995 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1749.txt 25 15.9706 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2947.txt 26 15.946633 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2424.txt 27 15.923507 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-3127.txt 28 15.876888 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2541.txt 29 15.734216 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2950.txt 30 15.677448 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1506.txt 31 15.668916 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2380.txt 32 15.639719 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2500.txt 33 15.5452585 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2632.txt 34 15.437796 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2501.txt 35 15.204754 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1071.txt 36 15.1901245 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1908.txt 37 14.857034 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1464.txt 38 14.831558 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1680.txt 39 14.80191 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2920.txt 40 14.7467 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1391.txt 41 14.652217 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1572.txt 42 14.639974 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2439.txt 43 14.627461 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2344.txt 44 14.56859 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-0971.txt 45 14.326285 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1393.txt 46 14.249236 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-3048.txt 47 14.205208 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1225.txt 48 14.177219 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1440.txt 49 14.138882 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-3174.txt 50 14.105744 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1264.txt 51 14.101033 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2948.txt 52 14.093811 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1226.txt 53 14.000772 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1647.txt 54 13.843398 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1750.txt 55 13.833902 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-0698.txt 56 13.807428 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1805.txt 57 13.661956 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2764.txt 58 13.644674 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1544.txt 59 13.608649 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-3025.txt 60 13.543738 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1487.txt 61 13.521585 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1542.txt 62 13.508093 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2522.txt 63 13.4561615 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2317.txt 64 13.404772 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-0637.txt 65 13.397907 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-3068.txt 66 13.375898 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2003.txt 67 13.373889 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2740.txt 68 13.326685 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2946.txt 69 13.326174 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1315.txt 70 13.242058 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-0585.txt 71 13.20132 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-3023.txt 72 13.159015 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1462.txt 73 13.143432 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1685.txt 74 13.117871 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1168.txt 75 13.070545 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1960.txt 76 13.004788 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2951.txt 77 12.989883 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2358.txt 78 12.965653 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1747.txt 79 12.877986 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1753.txt 80 12.732048 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1854.txt 81 12.552531 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1236.txt 82 12.54667 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1885.txt 83 12.440913 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-3069.txt 84 12.415583 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2398.txt 85 12.392734 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-0414.txt 86 12.363142 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2080.txt 87 12.347373 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2036.txt 88 12.329731 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1179.txt 89 12.177528 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2917.txt 90 12.150634 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-3112.txt 91 12.0844965 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2365.txt 92 12.003165 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2621.txt 93 11.9873705 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2624.txt 94 11.932511 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1195.txt 95 11.883428 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1892.txt 96 11.876273 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2841.txt 97 11.752465 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-1173.txt 98 11.74721 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2681.txt 99 11.743099 BM25_CASEFOLD_1GRAM 
1 Q0 CACM-2597.txt 100 11.730302 BM25_CASEFOLD_1GRAM 

2 Q0 CACM-3078.txt 1 18.176342 BM25_CASEFOLD_1GRAM 
2 Q0 CACM-2434.txt 2 17.855755 BM25_CASEFOLD_1GRAM 
